epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,179.659,2.05028,4.03092,2.00203,0.36756,0.30556,0.17121,0.0948,1.69781,3.86613,2.11573,4e-05,4e-05,4e-05
2,328.621,1.89015,3.40989,1.87582,0.26991,0.3364,0.30378,0.19248,1.6126,3.20649,1.8569,8.8515e-05,8.8515e-05,8.8515e-05
3,478.855,1.68103,2.80582,1.68222,0.21678,0.71393,0.38157,0.2355,1.47546,3.16667,1.60176,0.00013538,0.00013538,0.00013538
4,623.96,1.53269,2.34075,1.51025,0.59997,0.38103,0.43176,0.25232,1.43901,3.30346,1.51769,0.000180595,0.000180595,0.000180595
5,763.61,1.53139,2.09303,1.49162,0.2127,0.66844,0.39614,0.25833,1.2586,3.15435,1.37953,0.00022416,0.00022416,0.00022416
6,911.229,1.4567,1.90919,1.42108,0.23058,0.7392,0.40472,0.22725,1.28136,3.44587,1.40697,0.000266075,0.000266075,0.000266075
7,1057.53,1.43369,1.72345,1.40666,0.55525,0.48611,0.43493,0.2685,1.38043,3.02351,1.46057,0.00030634,0.00030634,0.00030634
8,1199.94,1.34943,1.54622,1.36399,0.47783,0.67909,0.63827,0.3837,1.3138,2.67387,1.38482,0.000344955,0.000344955,0.000344955
9,1342.67,1.28866,1.47063,1.30816,0.62597,0.40365,0.51811,0.29541,1.52706,2.9367,1.58067,0.00038192,0.00038192,0.00038192
10,1484.16,1.31436,1.33511,1.31054,0.41872,0.59722,0.6032,0.31286,1.55261,2.44912,1.64349,0.000417235,0.000417235,0.000417235
11,1623.74,1.3364,1.36702,1.29267,0.66799,0.54431,0.72513,0.33693,1.76257,2.42383,1.84097,0.0004509,0.0004509,0.0004509
12,1766.89,1.26248,1.28232,1.28952,0.51956,0.73608,0.77369,0.35966,1.83504,2.0988,1.97452,0.000482915,0.000482915,0.000482915
13,1908.7,1.30218,1.17657,1.33551,0.57637,0.66196,0.70068,0.36027,1.79734,1.78731,1.91413,0.00051328,0.00051328,0.00051328
14,2049.22,1.2742,1.22196,1.31901,0.69357,0.807,0.87073,0.41696,1.69629,1.68704,1.80495,0.000541995,0.000541995,0.000541995
15,2188.35,1.21177,1.15107,1.29289,0.8065,0.77795,0.83922,0.45118,1.7205,1.73381,1.84979,0.00056906,0.00056906,0.00056906
16,2328.43,1.29022,1.1602,1.316,0.79266,0.75206,0.84839,0.46145,1.61664,1.63376,1.80254,0.000594475,0.000594475,0.000594475
17,2468.32,1.17649,1.02791,1.2485,0.77258,0.67773,0.76366,0.42938,1.68678,1.62549,1.82668,0.00061824,0.00061824,0.00061824
18,2605.81,1.19682,1.01544,1.25869,0.86503,0.66001,0.79819,0.44286,1.67388,1.66388,1.86504,0.000640355,0.000640355,0.000640355
19,2749.87,1.14096,0.98842,1.24004,0.67105,0.74585,0.82994,0.45428,1.578,1.55815,1.82351,0.00066082,0.00066082,0.00066082
20,2891.57,1.10658,0.91536,1.2326,0.67334,0.64556,0.68731,0.28766,1.79927,1.77831,1.91877,0.000679635,0.000679635,0.000679635
21,3030.72,1.1452,0.92127,1.2284,0.63351,0.72217,0.69973,0.33182,1.69421,1.77052,1.93321,0.00067,0.00067,0.00067
22,3166.61,1.18434,1.01461,1.2849,0.90778,0.69013,0.77443,0.34654,1.71939,1.73005,1.96988,0.0006535,0.0006535,0.0006535
23,3306.42,1.12865,0.8999,1.23848,0.69864,0.65278,0.71627,0.35512,1.59597,1.8,1.87942,0.000637,0.000637,0.000637
24,3446.62,1.14516,1.00386,1.26253,0.7864,0.57003,0.73332,0.40082,1.60294,1.80016,1.83048,0.0006205,0.0006205,0.0006205
25,3586.43,1.11863,0.89321,1.23439,0.80335,0.56891,0.67354,0.33684,1.65567,1.7531,1.84742,0.000604,0.000604,0.000604
26,3724.97,1.08317,0.8147,1.18633,0.9039,0.6477,0.80736,0.35137,1.72339,1.4969,1.87187,0.0005875,0.0005875,0.0005875
27,3864.64,1.07788,0.84702,1.17242,0.94626,0.67418,0.86753,0.4081,1.71959,1.50572,1.84083,0.000571,0.000571,0.000571
28,4004.5,1.06172,0.86331,1.20264,0.63345,0.76838,0.75637,0.38323,1.59112,1.47016,1.75037,0.0005545,0.0005545,0.0005545
29,4145.05,1.07933,0.84422,1.20082,0.56969,0.71491,0.68507,0.35938,1.55976,1.54903,1.80081,0.000538,0.000538,0.000538
30,4282.2,1.02889,0.81184,1.1705,0.6935,0.61561,0.68529,0.38403,1.65589,1.60922,1.96231,0.0005215,0.0005215,0.0005215
31,4422.06,1.05295,0.87735,1.21595,0.67391,0.60472,0.66435,0.36363,1.62075,1.73803,1.97089,0.000505,0.000505,0.000505
32,4559.43,1.02535,0.81017,1.16521,0.72002,0.56636,0.62153,0.35857,1.63971,2.00978,1.96878,0.0004885,0.0004885,0.0004885
33,4697.25,0.95401,0.79034,1.1598,0.70934,0.72534,0.68115,0.39034,1.62543,1.71229,1.90369,0.000472,0.000472,0.000472
34,4833.1,1.0159,0.8033,1.18768,0.68966,0.73452,0.74599,0.43301,1.57946,1.41652,1.76826,0.0004555,0.0004555,0.0004555
35,4972.13,0.96985,0.73606,1.1431,0.64063,0.75386,0.79671,0.44665,1.5848,1.4098,1.72814,0.000439,0.000439,0.000439
